word,synonym,antonym
زیان,"['آسیب', 'اضرار', 'تغابن', 'خسارت', 'خسران', 'صدمه', 'ضرر', 'غبن', 'فسوس', 'گزند', 'لطمه', 'مضرت ', 'اضرار', 'مضرت', 'آفت', 'خسران', 'تغابن', 'خسارت']","[' بهره', 'سود', 'منفعت', 'نفع', 'متضرر شدن', 'منفعت بردن', 'سود داشتن', 'صرف', 'صرفه', 'نفع']"
خور,"['آفتاب', 'خورشید', 'شمس', 'مهر', 'هور ', ' خلیج', 'شاخاب', 'شاخابه  زمین پست ', 'خلیج', 'شید', 'شمس', 'میترا', 'آفتاب', 'خورشید', 'هور']","[' قمر', 'ماه', ' شبهجزیره', 'مه', 'مهر']"
غافل,"[' بیخرد', 'جاهل', 'ناآگاه', 'نادان  بیخبر', 'غفلتزده', 'لاقید ', 'ساهی', 'بیخیال', 'لاقید', 'ناآگاه']","[' عاقل', 'متنبه', 'مستحضر شدن', 'مستحضر کردن', 'متوجه', 'باخبر']"
جنگ,"['آرزم', 'آشوب', 'پرخاش', 'پیکار', 'تنازع', 'جدال', 'حرب', 'خصومت', 'رزم', 'ستیزه', 'غزا', 'غزوه', 'کارزار', 'کشمکش', 'مبارزه', 'مجادله', 'محاربه', 'مشاجره', 'مصاف', 'معرکه', 'مقاتله', 'منازعه', 'مواقعه', 'ناورد', 'نبرد', 'وغا', 'وقعت', 'وقعه', 'تذکره', 'دفتر', 'سفینه', 'کشکول', 'گلچین', 'مجموعه', 'مقاتله', 'زدوخورد', 'غزوه', 'وغا', 'وقعت', 'مصاف', 'مواقعه', 'غزا']",['حربگاه']
خشک,"[' پژمرده', 'زرد', 'بیطراوت ', 'یابس', 'زرد', 'شاپورگان']","[' تر', 'باطراوت', 'خرم', 'شاداب', 'مرطوب', 'نوشکفته  بیآب', 'بینم', 'کویر', 'برهوت ', 'یبس', 'نمسار', 'خیس', 'رطوبتدار', 'سرسبز', 'تر']"
تویی,['درونی'],"['اندرونی', 'طایر طائر']"
مرگ,"[' ارتحال', 'درگذشت', 'حتف', 'رحلت', 'فوت', 'مردن', 'منون', 'موت', 'میر', 'وفات ', 'درگذشت', 'حین', 'شهادت', 'ارتحال', 'هلاکت', 'فوت', 'وفات', 'ممات']","[' هستی  اجل  زوال', 'فنا', 'نابودی', 'نیستی', 'هلاک ', 'زاییدن', 'ولادت', 'زایش']"
حضرت,"[' جناب  آستانه', 'پیشگاه', 'درگاه', 'محضر  حضور', 'قرب', 'نزدیکی  پایتخت', 'جناب', 'عتبه', 'آستان', 'درگاه', 'آستانه', 'مجلس']",['خدمت']
خفته,"[' آرمیده', 'خسبیده', 'خوابیده', 'غنوده ', 'خسبیده', 'آرمیده', 'غنوده', 'خوابیده']","[' بیدار  غافل', 'بیخبر', 'ناآگاه  نهفته', 'به ظاهر آرام', 'متنبه', 'بیدار']"
نیش,"[' نشتر', 'نیشتر  زخم  نوک ', 'نیشتر', 'نشتر', 'زخم']","[' نوش', 'نوش']"
دیوار,"[' جدار  آوار  بارو', 'حصار', 'دیواره', 'جدار', 'بارو', 'خیز', 'حفاظ']",['تشیید']
سبز,"[' اخضر', 'خضرا ']","[' احمر  تازه', 'تر', 'خرم', 'شاداب ', 'سرخ', 'برون آمدن', 'خشکیدن', 'بردمیدن']"
قدیم,"['ازلی', 'باستانی', 'پیشین', 'دیرینه', 'سرمدی', 'کهن', 'کهنه', 'گذشته ', 'ابد', 'عتیق', 'کهن', 'باستانی']","[' جدید', 'بیآغاز', 'نوین', 'موخر', 'جدیدالتاسیس', 'ازلی', 'جدید', 'نو', 'حادث']"
فاش,"['آشکار', 'آشکارا', 'ابراز', 'افشا', 'برملا', 'جلوهگر', 'ذایع', 'رسوا', 'ظاهر', 'عالمگیر', 'علنی', 'عیان', 'لو', 'مشخص', 'مشهود', 'معلوم', 'نمودار', 'واضح', 'هویدا ', 'علنی', 'عیان', 'افشا']","[' مخفی', 'ناآشکار', 'نهان', 'بروز دادن', 'مکتوم ماندن', 'دزدانه', 'مخفی کردن', 'پنهان کردن', 'دزدکی', 'مکنون']"
رنجور,"['آزرده', 'بستری', 'بیمار', 'رنجه', 'علیل', 'غمگین', 'مریض', 'ناتوان', 'ناسالم', 'نالان', 'تکیده', 'رنجه', 'فگار', 'بستری', 'نالان', 'علیل', 'مریض', 'بیمار', 'ناسالم', 'ناتوان']",nothing
